X,Y
-264.847564198179,1446436.98435581
-440.672823613706,1992265.37667971
-1268.18792388546,2262059.07980885
1131.08299623959,1612302.47507737
2807.26419402039,2313300.45269378
3976.15341817487,507968.824443061
-534.58556405866,868845.085868199
8888.93362437314,3371541.87501356
4730.76835803347,2307829.68354166
14423.8177996349,2281853.71029856
820.424350627502,1775368.10731183
-1920.615703736,1557843.91135216
12929.9545490416,2357925.82401816
7038.88389586107,1569340.4207334
19635.0741370888,2221749.95606796
314.700670566795,1022350.34100044
1533.68393348688,2672349.68351579
5580.10408059379,5572.43452134405
-51.1380497963692,3485269.64721227
-1540.58450250298,1623416.30633378
1543.13750378024,2157454.69695467
2488.46792460926,2565833.15666255
3202.2623892304,3223610.32813198
20380.5293778174,2532069.05408102
10204.1699082742,1582048.40789674
-417.030517174899,2212849.52624674
2314.46207290432,3139117.43123335
1088.53854213827,2410884.79271666
23030.5661514506,647822.884858276
2896.22683359352,1986312.97926886
2120.40159101866,2371479.28446553
11300.1415707044,824747.03058782
-3034.45746334548,2588052.21099356
-3109.28146575225,2121989.04363315
-265.171206124469,1004060.20903848
-2809.19075903615,2215853.74058451
8260.09393244498,1727061.54746119
12270.6212365019,2113409.65032184
368.002229161932,1513632.17425753
4600.09638705798,1992617.13212599
-2221.88801597959,1575574.47543505
5309.88311422725,2072889.14537323
20368.6405609338,689443.47386846
6488.63990549402,3167533.83260497
6675.0481359906,2624585.50390185
984.757332128866,2764788.3238319
9683.70472687423,1354038.29303789
13575.1090090978,2753912.62751481
-3747.03242813991,2064600.86521794
612.827054605426,1696471.5173965
1856.80143395206,2366619.21285144
-5350.72642133541,2594657.9255833
-2565.14656983965,658882.675719474
-4803.76127707239,2017124.09572102
-847.813455388714,2302529.97824346
4750.51591438457,2265544.76807607
7498.59542954847,2029557.70239087
1630.49645237257,1589900.81480635
-5154.35952381617,2301234.53123755
4696.74217489729,639875.097418522
9672.98510727716,2129575.38766308
4472.90871598612,1059275.80609314
-3054.58274768141,2624354.08271709
10949.5323881662,1173959.10922958
4021.63640441663,1046161.81791534
-2255.24793207771,2653441.72088476
7279.89811465013,2970347.07966073
3168.12575486827,2289384.74101506
4712.53103251713,2297549.32938233
-3232.77093062818,2905863.08458806
2477.43320940097,2098118.14986517
-2820.86629041813,1864836.83961496
546.842269075096,1819722.15684708
-2285.23037885308,1802997.41964003
-4765.39347470678,1611459.23217219
12166.5567046921,1150006.01686367
-364.420581804596,1236362.94255261
-2750.82413572688,2139256.00026725
-1417.36333029546,1470174.33882676
9178.70218112286,1515228.13558375
1199.96333177308,2833114.99114511
6785.0224283722,2036219.76188408
292.660242371625,1654613.68454326
-5557.44725033337,2676209.48572796
-1533.55126127573,3589183.850157
10396.627458888,250737.34230482
6747.7315715824,849921.820821948
13727.3776769882,3144685.88165745
-3687.523321177,1886789.10535791
3293.14512045251,2172080.7547931
9782.99220113433,1802055.19999433
8959.81486650465,2558261.69244132
160.820369003748,1265665.55167706
-1257.17991341383,1181315.91727157
6384.43461998857,3031330.59647593
488.985375897697,2463304.05735607
-156.011419584407,2112049.58128317
239.221230072315,1660265.88549745
8641.81261914025,774006.2542465
-2805.41026934812,3081240.51986177
7739.3204169617,1984525.83320134
21580.0350175154,2582719.06084766
-2946.79488644806,2114529.50581604
2243.2007749207,858670.552382044
-73.7899083260418,1848983.80357181
8444.08493717833,2688072.68535067
7368.34844978822,5203496.33251238
-638.186728697569,1715468.56084039
-2302.95053590783,2344706.60075517
4992.71804580015,2256931.21909968
3180.97050117808,2420484.3870444
-2556.46792231669,1374402.7342243
2398.33093816355,461051.928382358
2521.705864382,2198685.86685873
8112.39017164493,875462.043607363
1485.25860730053,2726053.19507706
93.1892503091367,1992604.79315808
1596.64453547652,2353622.26729231
2610.21591558003,2131242.57487563
-724.373242890069,2843001.94865321
2791.12758757443,2659133.70635203
2043.95900758549,1446057.63203808
533.715559231132,2603282.6412312
344.510387799703,1063415.48940627
12201.1796798895,2899537.66173092
8376.68011211073,3019784.40762182
4145.2409537886,2310720.08081914
3478.05151943863,2842894.16707609
-1006.83282752912,1616358.66597405
14465.6899652757,1003321.81873954
8054.95811903269,1109434.29446145
4852.25033751888,2023368.97033897
-283.519422051577,2001962.91477351
4315.50518253291,2195641.60063711
3536.05320981608,2439755.94645096
1609.38006890032,2405271.41327042
-5952.24158018294,2472068.38264425
2267.74221087541,1277624.57069457
2226.5686951955,1372177.77740438
-2285.65474244581,2131393.72648978
1490.51582304376,1817738.17043039
-1322.01448457678,2755854.56399039
3349.22388019293,306881.178186763
10023.0013752932,2431177.32598136
15164.6784152331,2430020.28039154
269.145556619827,2661985.07096358
-246.85235771722,1456971.85710674
-60.4883725492255,208801.176539825
3589.84899545051,812753.954525509
-6073.80918821671,2663553.27197595
6625.6003130552,787624.684769222
-614.434752439811,1784846.83056353
5862.18280234098,2261860.00441207
-913.198389173449,2931430.45646171
-2923.815976468,2837851.15196291
-394.429166710965,2867536.19956413
7385.90795751648,1724872.55241904
18408.0715717959,2240533.95769284
8657.56906664483,2980712.87906134
40545.8821907503,1122641.11852266
6123.2387207037,1618357.27299827
1686.55100726715,1940895.03326026
-2288.04187631726,2135293.75190413
1162.26314262728,2194007.74392677
2133.69115287995,1280887.75485794
3879.34447778863,2473998.97417661
10484.8890833062,1840874.57030585
2185.12196584819,1537173.70556221
9552.44767451159,936064.266790188
-627.594390514081,2290057.72135019
3968.62758710867,997501.906503819
-3979.24355217184,1296156.50842457
-148.764257818788,2943346.24076215
1682.17190979528,1499585.41501887
-1327.31736638912,2403321.25001574
